sample_id,target_id,host_name,candidate_rank,label,label_source,matched_planet,negative_category,period_days,duration_hours,depth_fraction,depth_error_fraction,snr,power,duty_cycle,odd_even_mismatch,secondary_depth_fraction,secondary_to_primary_ratio,robust_scatter,transit_count,primary_point_count
10337517-r1,10337517,Kepler-783,1,1,recovered_confirmed_planet,Kepler-783 c,,7.058939564863045,4.0,0.00014102551297820383,9.067879674421611e-06,15.552203827318547,15.552203827318547,0.023610722989650678,0.3651770349785865,-1.6408550870705696e-05,-0.08463515813649508,0.0001938739317322815,42.0,337.0
10386922-r1,10386922,Kepler-511,1,1,recovered_confirmed_planet,Kepler-511 c,,26.68760264273878,8.0,0.00031808234948536737,7.888756659257728e-06,40.320973662191335,40.320973662191335,0.012490193959929455,0.09674637789075015,3.389988287394452e-05,0.08619500460738262,0.00011574147453876579,7.0,111.0
10388286-r1,10388286,Kepler-617,1,1,recovered_confirmed_planet,Kepler-617 b,,1.682923314765182,1.0,0.0005430929935851791,1.5800892884672606e-05,34.3710319125065,34.3710319125065,0.024758505810159512,0.06465237848455967,-5.653868124566586e-06,-0.010150765099763584,0.0003524592978538816,172.0,347.0
10418224-r1,10418224,Kepler-40,1,1,recovered_confirmed_planet,Kepler-40 b,,6.87159105951601,8.0,0.0027604962295505356,9.793639031429192e-06,281.8662420262486,281.8662420262486,0.048508901424179206,0.015007128818116527,4.6425614083300815e-05,0.013978332880091886,0.0002935407633763942,42.0,677.0
10454313-r1,10454313,Kepler-588,1,1,recovered_confirmed_planet,Kepler-588 b,,4.220551481312624,2.0,0.0005411026768752794,1.6042088440793317e-05,33.730189112990615,33.730189112990615,0.019744655100715897,0.005637842113292059,6.902112140938499e-06,0.012301268825118688,0.00028668029517787903,69.0,274.0
10460984-r3,10460984,Kepler-164,3,1,recovered_confirmed_planet,Kepler-164 c,,10.934499902422118,8.0,0.00016800076556088703,9.495141976823904e-06,17.693338969648853,17.693338969648853,0.030484552225337358,0.3862227415619321,-6.117165508356948e-05,-0.20518599364266607,0.0002981278302558052,27.0,435.0
10489206-r1,10489206,Kepler-125,1,1,recovered_confirmed_planet,Kepler-125 b,,4.16398580686496,2.0,0.00174666278979329,1.9816012888755907e-05,88.1440075558484,88.1440075558484,0.020012876411813346,0.019330233585985054,5.219208992790492e-05,0.028536546075122394,0.0007548998456652343,69.0,278.0
10587105-r1,10587105,Kepler-529,1,1,recovered_confirmed_planet,Kepler-529 b,,1.9806457822721075,2.0,0.00024860826572335466,7.251421792550012e-06,34.284071846264766,34.284071846264766,0.04207381959925065,0.1635735935493626,-1.8425209515893215e-05,-0.07749941371072813,0.0001764785049093956,112.0,450.0
10619192-r2,10619192,Kepler-17,2,1,recovered_confirmed_planet,Kepler-17 b,,1.4850400424350823,4.0,0.008361898201798976,5.879559678750127e-06,1422.1980316009895,1422.1980316009895,0.11223041931810562,0.1759838049476245,0.00025282573425866595,0.03553918539519768,0.0045763175876303306,194.0,1558.0
10656823-r1,10656823,Kepler-195,1,1,recovered_confirmed_planet,Kepler-195 b,,8.304175573682322,4.0,0.0005024996751689691,1.5621191198026394e-05,32.16782054575042,32.16782054575042,0.020070224333270163,0.08830171584779864,-3.5646012731538335e-05,-0.07060264505566435,0.0003992297506992516,37.0,300.0
